TIME,SST
1870-01-16,18.448391
1870-02-14,18.507238
1870-03-16,18.661234
1870-04-15,18.504604
1870-05-16,18.276804
1870-06-16,18.222813
1870-07-16,18.387745
1870-08-16,18.586033
1870-09-16,18.477077
1870-10-16,18.340786
1870-11-16,18.321655
1870-12-16,18.307896
1871-01-16,18.492023
1871-02-15,18.551775
1871-03-16,18.59264
1871-04-16,18.584288
1871-05-16,18.490335
1871-06-16,18.444292
1871-07-16,18.481068
1871-08-16,18.515205
1871-09-16,18.35365
1871-10-16,18.209152
1871-11-16,18.271294
1871-12-16,18.248749
1872-01-16,18.332165
1872-02-15,18.488384
1872-03-16,18.560114
1872-04-16,18.532734
1872-05-16,18.47097
1872-06-16,18.449846
1872-07-16,18.47877
1872-08-16,18.63796
1872-09-16,18.534716
1872-10-16,18.34712
1872-11-16,18.327164
1872-12-16,18.341719
1873-01-16,18.54521
1873-02-15,18.57308
1873-03-16,18.484907
1873-04-16,18.530704
1873-05-16,18.332867
1873-06-16,18.370132
1873-07-16,18.526007
1873-08-16,18.639194
1873-09-16,18.484045
1873-10-16,18.17649
1873-11-16,18.12286
1873-12-16,18.159
1874-01-16,18.409641
1874-02-15,18.474606
1874-03-16,18.46421
1874-04-16,18.34903
1874-05-16,18.250381
1874-06-16,18.335249
1874-07-16,18.502216
1874-08-16,18.439524
1874-09-16,18.392393
1874-10-16,18.15022
1874-11-16,18.06396
1874-12-16,18.163258
1875-01-16,18.37773
1875-02-15,18.615898
1875-03-16,18.666222
1875-04-16,18.532825
1875-05-16,18.571169
1875-06-16,18.402605
1875-07-16,18.34241
1875-08-16,18.585089
1875-09-16,18.494396
1875-10-16,18.350725
1875-11-16,18.264492
1875-12-16,18.136122
1876-01-16,18.306839
1876-02-15,18.454605
1876-03-16,18.550892
1876-04-16,18.332457
1876-05-16,18.209923
1876-06-16,18.157305
1876-07-16,18.394331
1876-08-16,18.570055
1876-09-16,18.375357
1876-10-16,18.273172
1876-11-16,18.084663
1876-12-16,18.168375
1877-01-16,18.316856
1877-02-15,18.742327
1877-03-16,18.695341
1877-04-16,18.505796
1877-05-16,18.385576
1877-06-16,18.489397
1877-07-16,18.529774
1877-08-16,18.59611
1877-09-16,18.674545
1877-10-16,18.569712
1877-11-16,18.41775
1877-12-16,18.561687
1878-01-16,18.670795
