TIME,SST
1870-01-16,19.984009
1870-02-14,20.025057
1870-03-16,20.220331
1870-04-15,20.113852
1870-05-16,19.88924
1870-06-16,19.784664
1870-07-16,19.879837
1870-08-16,20.034063
1870-09-16,19.964369
1870-10-16,19.866816
1870-11-16,19.880089
1870-12-16,19.845846
1871-01-16,20.014633
1871-02-15,20.076267
1871-03-16,20.155499
1871-04-16,20.192783
1871-05-16,20.096205
1871-06-16,19.996012
1871-07-16,19.974182
1871-08-16,19.972012
1871-09-16,19.84124
1871-10-16,19.74108
1871-11-16,19.845192
1871-12-16,19.798723
1872-01-16,19.860357
1872-02-15,20.010704
1872-03-16,20.118202
1872-04-16,20.126781
1872-05-16,20.067944
1872-06-16,20.000683
1872-07-16,19.971535
1872-08-16,20.08045
1872-09-16,20.012463
1872-10-16,19.866661
1872-11-16,19.887266
1872-12-16,19.873304
1873-01-16,20.060024
1873-02-15,20.077946
1873-03-16,20.031507
1873-04-16,20.13784
1873-05-16,19.94226
1873-06-16,19.91409
1873-07-16,20.00281
1873-08-16,20.07744
1873-09-16,19.969805
1873-10-16,19.701921
1873-11-16,19.678535
1873-12-16,19.689749
1874-01-16,19.927872
1874-02-15,19.988302
1874-03-16,20.017841
1874-04-16,19.95012
1874-05-16,19.852964
1874-06-16,19.882435
1874-07-16,19.98378
1874-08-16,19.875423
1874-09-16,19.856522
1874-10-16,19.65103
1874-11-16,19.60388
1874-12-16,19.693583
1875-01-16,19.903831
1875-02-15,20.141005
1875-03-16,20.225918
1875-04-16,20.13729
1875-05-16,20.166573
1875-06-16,19.94207
1875-07-16,19.81263
1875-08-16,20.013311
1875-09-16,19.96267
1875-10-16,19.871372
1875-11-16,19.838007
1875-12-16,19.688381
1876-01-16,19.838467
1876-02-15,19.9749
1876-03-16,20.110714
1876-04-16,19.931581
1876-05-16,19.81418
1876-06-16,19.705214
1876-07-16,19.872118
1876-08-16,20.00365
1876-09-16,19.848137
1876-10-16,19.792671
1876-11-16,19.652267
1876-12-16,19.72417
1877-01-16,19.854176
1877-02-15,20.273266
1877-03-16,20.264833
1877-04-16,20.126938
1877-05-16,20.013153
1877-06-16,20.063574
1877-07-16,20.04843
1877-08-16,20.077383
1877-09-16,20.199812
1877-10-16,20.140736
1877-11-16,20.03025
1877-12-16,20.160986
1878-01-16,20.255928
1878-02-15,20.471508
1878-03-16,20.481987
1878-04-16,20.4246
